 Yr doy   snow   pool_w1   pool_w2  stat_w1   stat_w2
   1 330   1331.15     27.42     21.29      0.45      0.27
   1 331   1337.52     27.42     21.30      0.45      0.27
   1 332   1344.71     27.42     21.30      0.45      0.27
   1 333   1351.70     27.42     21.30      0.45      0.27
   1 334   1358.44     27.41     21.30      0.45      0.27
   1 335   1365.18     27.41     21.31      0.45      0.27
   1 336   1371.87     27.41     21.31      0.45      0.27
   1 337   1378.59     27.41     21.31      0.45      0.27
   1 338   1385.20     27.41     21.31      0.45      0.27
   1 339   1391.83     27.41     21.32      0.45      0.27
   1 340   1398.97     27.41     21.32      0.45      0.27
   1 341   1406.20     27.40     21.32      0.45      0.27
   1 342   1413.18     27.40     21.32      0.45      0.27
   1 343   1420.09     27.40     21.33      0.45      0.27
   1 344   1427.27     27.40     21.33      0.45      0.27
   1 345   1434.54     27.40     21.33      0.45      0.27
   1 346   1441.71     27.40     21.33      0.45      0.27
   1 347   1448.69     27.39     21.34      0.45      0.27
   1 348   1455.71     27.39     21.34      0.45      0.27
   1 349   1462.78     27.39     21.34      0.45      0.27
   1 350   1469.79     27.39     21.34      0.45      0.27
   1 351   1476.82     27.39     21.35      0.45      0.27
   1 352   1483.65     27.39     21.35      0.45      0.27
   1 353   1490.44     27.38     21.35      0.45      0.27
   1 354   1497.23     27.38     21.36      0.45      0.27
   1 355   1504.02     27.38     21.36      0.45      0.27
   1 356   1510.64     27.38     21.36      0.45      0.27
   1 357   1517.69     27.38     21.36      0.45      0.27
   1 358   1524.74     27.38     21.37      0.45      0.27
   1 359   1531.51     27.37     21.37      0.45      0.27
   1 360   1538.33     27.37     21.37      0.45      0.27
   1 361   1544.93     27.37     21.37      0.45      0.27
   1 362   1551.63     27.37     21.38      0.45      0.27
   1 363   1558.48     27.37     21.38      0.45      0.27
   1 364   1565.31     27.37     21.38      0.45      0.27
   1 365   1572.23     27.36     21.38      0.45      0.27
   2   1   1578.92     27.36     21.39      0.45      0.27
   2   2   1585.56     27.36     21.39      0.45      0.28
   2   3   1592.08     27.36     21.39      0.45      0.28
   2   4   1598.57     27.36     21.40      0.45      0.28
   2   5   1605.25     27.36     21.40      0.45      0.28
   2   6   1611.99     27.36     21.40      0.45      0.28
   2   7   1618.56     27.35     21.40      0.45      0.28
   2   8   1625.40     27.35     21.41      0.45      0.28
   2   9   1631.84     27.35     21.41      0.45      0.28
   2  10   1638.21     27.35     21.41      0.45      0.28
   2  11   1644.40     27.35     21.42      0.45      0.28
   2  12   1650.63     27.35     21.42      0.45      0.28
   2  13   1656.52     27.34     21.42      0.45      0.28
   2  14   1662.49     27.34     21.42      0.45      0.28
   2  15   1668.50     27.34     21.43      0.45      0.28
   2  16   1674.68     27.34     21.43      0.45      0.28
   2  17   1680.73     27.34     21.43      0.45      0.28
   2  18   1686.87     27.34     21.44      0.45      0.28
   2  19   1692.83     27.33     21.44      0.45      0.28
   2  20   1698.73     27.33     21.44      0.45      0.28
   2  21   1704.65     27.33     21.45      0.45      0.28
   2  22   1710.59     27.33     21.45      0.45      0.28
   2  23   1716.27     27.33     21.45      0.45      0.28
   2  24   1721.83     27.33     21.45      0.45      0.28
   2  25   1727.38     27.32     21.46      0.45      0.28
   2  26   1732.83     27.32     21.46      0.45      0.28
   2  27   1738.35     27.32     21.46      0.45      0.28
   2  28   1743.99     27.32     21.47      0.45      0.28
   2  29   1749.84     27.32     21.47      0.45      0.28
   2  30   1755.26     27.32     21.47      0.45      0.28
   2  31   1760.60     27.32     21.48      0.45      0.28
   2  32   1766.02     27.31     21.48      0.45      0.28
   2  33   1771.19     27.31     21.48      0.45      0.28
   2  34   1776.54     27.31     21.49      0.45      0.28
   2  35   1781.96     27.31     21.49      0.45      0.28
   2  36   1787.56     27.31     21.49      0.45      0.28
   2  37   1792.76     27.31     21.50      0.45      0.28
   2  38   1797.78     27.31     21.50      0.45      0.28
   2  39   1802.64     27.30     21.50      0.45      0.28
   2  40   1807.54     27.30     21.51      0.45      0.28
   2  41   1812.53     27.30     21.51      0.45      0.28
   2  42   1817.84     27.30     21.51      0.45      0.28
   2  43   1822.81     27.30     21.52      0.45      0.28
   2  44   1827.37     27.30     21.52      0.45      0.28
   2  45   1831.70     27.30     21.52      0.45      0.28
   2  46   1836.49     27.29     21.53      0.45      0.28
   2  47   1841.50     27.29     21.53      0.45      0.28
   2  48   1846.22     27.29     21.53      0.45      0.28
   2  49   1851.45     27.29     21.54      0.45      0.28
   2  50   1856.94     27.29     21.54      0.45      0.28
   2  51   1862.20     27.29     21.55      0.45      0.28
   2  52   1867.24     27.29     21.55      0.45      0.28
   2  53   1872.06     27.28     21.55      0.45      0.28
   2  54   1876.66     27.28     21.56      0.45      0.28
   2  55   1881.09     27.28     21.56      0.45      0.28
   2  56   1885.37     27.28     21.57      0.45      0.28
   2  57   1889.69     27.28     21.57      0.45      0.28
