 -11.03,   0.63,   0.49,  28.21,  78.05,   3.65,
 -10.79,   0.01,   0.01,  19.39,  73.59,   1.49,
  -5.22,   4.56,   3.63,  55.65,  72.08,   1.80,
  -8.90,   2.06,   1.64,  29.11,  79.54,   7.20,
 -12.55,   0.02,   0.01,  14.29,  67.32,   4.34,
  -9.04,   1.55,   1.23,  42.74,  78.52,   1.46,
  -5.40,   0.14,   0.11,  47.69,  72.33,   0.80,
  -0.40,   4.09,   3.20,  55.38,  79.23,   6.60,
  -3.27,   0.96,   0.76,  43.18,  81.38,   3.92,
  -3.36,   0.74,   0.59,  56.77,  80.17,   2.53,
  -4.12,   0.76,   0.60,  54.17,  75.52,   4.74,
  -6.88,   0.59,   0.47,  36.24,  78.10,   5.24,
  -5.56,   1.07,   0.85,  39.63,  79.31,   3.67,
  -6.36,   0.22,   0.18,  19.66,  76.53,   2.84,
  -3.31,   1.03,   0.82,  46.81,  73.08,   4.63,
  -2.51,   2.04,   1.62,  61.33,  87.05,   4.07,
  -0.94,   0.18,   0.12,  50.28,  77.89,   0.46,
  -0.07,   2.37,   1.88,  60.14,  76.76,   5.59,
  -0.92,   0.28,   0.22,  27.03,  68.15,   8.50,
  -3.26,   0.01,   0.01,  10.99,  73.20,   5.70,
  -2.59,   0.03,   0.03,  26.08,  77.49,   3.86,
  -0.01,   0.11,   0.09,  68.38,  80.90,   2.50,
   0.32,   0.36,   0.27,  58.89,  81.99,   2.66,
   3.00,   1.33,   0.24,  40.66,  66.53,   2.36,
   2.71,  11.42,   0.92,  54.36,  82.34,  10.07,
   0.22,   0.72,   0.53,  36.85,  76.63,   8.28,
  -0.19,   2.77,   2.06,  40.51,  81.19,   4.94,
  -0.24,   0.10,   0.07,  17.89,  77.82,   7.00,
   0.63,   0.00,   0.00,  22.07,  74.99,   4.27,
   2.58,   2.29,   0.31,  47.81,  70.99,   3.02,
   2.98,   9.04,   3.04,  66.33,  90.57,   2.88,
   1.18,  10.90,   7.33,  52.34,  90.95,   4.41,
   1.01,   0.60,   0.39,  55.10,  83.17,   6.45,
   4.96,   0.08,   0.02,  38.95,  74.18,   4.70,
   2.41,   0.00,   0.00,  14.44,  69.31,   6.18,
   7.53,   3.23,   0.00,  52.78,  60.55,   3.32,
   7.73,  16.55,   0.00,  62.48,  89.83,   5.43,
   8.47,   5.22,   0.00,  82.81,  92.06,   4.91,
   9.36,   9.75,   0.00,  81.45,  91.83,   3.99,
   0.54,   5.44,   2.95,  51.90,  88.15,   6.33,
  -0.27,   1.30,   0.96,  25.88,  67.35,   7.96,
   4.34,   0.01,   0.00,  29.47,  63.01,   7.52,
