Year, TreeDensity, Heigh, DBH, BA, MassW, MassW_ag, MassG, Litter, SOM, GPP, NPP , NEE, LAImax_W, LAImax_G, LAImean_W, LAImean_G, ccon, RO, Biome, ALD, ALD_DOY, Min_20yrMaxsnow, Max_snow
  47,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.6,  11.4,  59.9, 37.6, 10.5,   6.4,  1.4,  0.0,  3.4,  0.0,  3.0,  0.246, 841.5, 11, 20,365,  10691.20,  17792.35
  48,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.5,  11.4,  60.3, 38.5, 10.6,   6.3,  1.3,  0.0,  3.5,  0.0,  3.0,  0.438,1015.0, 11, 20,365,  11155.49,  18258.62
  49,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.0,  60.6, 39.5,  9.8,   5.9,  0.9,  0.0,  3.4,  0.0,  2.9,  0.344, 906.3, 11, 20,365,  11488.12,  18592.28
  50,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.0,  60.8, 40.4, 10.3,   6.2,  1.2,  0.0,  3.4,  0.0,  3.0,  0.229, 935.8, 11, 20,365,  11844.68,  18949.88
  51,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  11.0,  61.1, 41.3, 10.2,   6.1,  1.1,  0.0,  3.4,  0.0,  2.9,  0.323, 936.3, 11, 20,365,  12273.47,  19379.84
  52,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.3,  11.1,  61.3, 42.3, 10.6,   6.4,  1.3,  0.0,  3.4,  0.0,  3.0,  0.211, 954.2, 11, 20,365,  12636.94,  19744.51
  53,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.1,  61.6, 43.1, 10.4,   6.2,  1.1,  0.0,  3.4,  0.0,  3.0,  0.322,1032.3, 11, 20,365,  13032.13,  20140.75
  54,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  11.9,  10.8,  61.7, 44.0,  9.8,   5.9,  0.7,  0.0,  3.3,  0.0,  2.9,  0.391,1029.1, 11, 20,365,  13361.69,  20471.10
  55,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.3,  11.1,  61.9, 44.9, 10.7,   6.5,  1.4,  0.0,  3.4,  0.0,  3.0,  0.351, 975.7, 11, 20,365,  13620.77,  20730.75
  56,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.4,  11.3,  62.3, 45.7, 10.7,   6.5,  1.4,  0.0,  3.4,  0.0,  3.0,  0.300, 863.4, 11, 20,365,  13951.48,  21062.03
  57,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.4,  11.3,  62.7, 46.6, 10.6,   6.4,  1.2,  0.0,  3.4,  0.0,  3.0,  0.227,1023.8, 11, 20,365,  14381.44,  21493.08
  58,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.1,  63.0, 47.4, 10.0,   6.1,  0.9,  0.0,  3.4,  0.0,  3.0,  0.278, 892.7, 11, 20,365,  14799.38,  21911.98
  59,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  11.0,  63.2, 48.2, 10.0,   6.0,  0.9,  0.0,  3.4,  0.0,  2.9,  0.352, 894.6, 11, 20,365,  15069.40,  22182.38
  60,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  10.9,  63.4, 49.0, 10.2,   6.2,  1.0,  0.0,  3.4,  0.0,  3.0,  0.352, 862.8, 11, 20,365,  15469.79,  22583.79
  61,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  10.9,  63.6, 49.8, 10.2,   6.2,  1.0,  0.0,  3.4,  0.0,  3.0,  0.233, 900.8, 11, 20,365,  15879.28,  22994.29
  62,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.5,  11.3,  63.9, 50.6, 10.9,   6.6,  1.4,  0.0,  3.4,  0.0,  3.0,  0.321, 975.1, 11, 20,365,  16263.73,  23379.35
  63,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.8,  11.6,  64.3, 51.3, 11.3,   6.9,  1.6,  0.0,  3.4,  0.0,  3.1,  0.360,1043.7, 11, 20,365,  16663.60,  23780.06
  64,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.8,  11.6,  64.8, 52.1, 10.7,   6.5,  1.2,  0.0,  3.5,  0.0,  3.0,  0.437, 855.4, 11, 20,365,  16964.14,  24080.85
  65,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.7,  11.5,  65.3, 52.8, 10.6,   6.4,  1.2,  0.0,  3.5,  0.0,  3.0,  0.300, 821.6, 11, 20,365,  17338.87,  24456.29
