-4.0,8.2,3,627.4259757,280.9023869,4.6,56,4.4,4.4,4.4,-4.0,-4.0
-1.6,15.5,0,499.0360482,306.4584285,4.1,68,6.8,6.8,6.8,-1.6,-1.6
-0.3,15.5,0,834.337824,278.3991891,3.5,61,8.1,8.1,8.1,-0.3,-0.3
2.04,19.4,0,791.55194,295.9311124,4.3,74,10.5,10.5,10.5,2.04,2.04
1.84,7.3,0,244.166808,350.7549131,4,49,10.3,10.3,10.3,1.84,1.84
-0.9,9.3,0,780.4291161,280.5011768,3.8,60,7.5,7.5,7.5,-0.9,-0.9
1.24,11.7,0,450.9740739,326.2001278,4.8,59,9.7,9.7,9.7,1.24,1.24
1.34,3.6,27,241.6830025,348.1350424,2.8,41,9.8,9.8,9.8,1.34,1.34
-1.6,2.9,15,268.8643173,329.8227968,5,85,6.8,6.8,6.8,-1.6,-1.6
-2.3,3.7,0,394.5906549,316.9859957,3.7,90,6.1,6.1,6.1,-2.3,-2.3
-2.9,4.7,0,678.0199533,286.6479025,3.8,71,5.5,5.5,5.5,-2.9,-2.9
-5.1,9.3,0,869.0763017,257.0279707,3.8,71,3.3,3.3,3.3,-5.1,-5.1
-1.4,12.9,0,1010.796878,262.4383731,2.6,54,7,7,7,-1.4,-1.4
1.94,17.9,0,989.6531089,283.1021058,3.2,40,10.4,10.4,10.4,1.94,1.94
3.84,14.8,0,962.6928938,296.4672352,4.4,48,12.3,12.3,12.3,3.84,3.84
3.64,16.6,0,906.1115661,300.4846851,3.2,57,12.1,12.1,12.1,3.64,3.64
2.54,5.3,5,261.2149406,354.4488239,4.3,71,11,11,11,2.54,2.54
2.74,6.9,5,444.2494655,338.3354555,2.6,74,11.2,11.2,11.2,2.74,2.74
4.54,13.4,0,833.159985,312.2446458,3.6,79,13,13,13,4.54,4.54
1.84,10.6,0,1007.663994,280.4092497,3.5,64,10.3,10.3,10.3,1.84,1.84
5.34,17.5,0,946.0804057,306.4336772,4.8,80,13.8,13.8,13.8,5.34,5.34
3.94,10.5,3,832.1104629,308.6697909,3.3,76,12.4,12.4,12.4,3.94,3.94
1.44,8.3,0,777.2640195,299.6486734,3.7,82,9.9,9.9,9.9,1.44,1.44
5.74,19.6,0,950.1883758,308.2654174,3.3,77,14.2,14.2,14.2,5.74,5.74
5.04,6.7,22,261.3494935,367.3577247,4,70,13.5,13.5,13.5,5.04,5.04
3.64,5.9,4,330.3232512,353.3088131,3.8,59,12.1,12.1,12.1,3.64,3.64
4.04,7.3,11,589.9822513,331.3705991,4,65,12.5,12.5,12.5,4.04,4.04
2.94,5.5,1,282.530488,353.8790031,2,89,11.4,11.4,11.4,2.94,2.94
4.34,10.6,0,829.1515056,310.8406138,2.4,79,12.8,12.8,12.8,4.34,4.34
6.04,14.5,0,953.7144491,309.4151092,3.7,50,14.5,14.5,14.5,6.04,6.04
9.44,17.3,0,796.755867,344.3866821,3.3,65,17.9,17.9,17.9,9.44,9.44
4.54,10.7,0,898.0462005,305.488484,3.8,86,13,13,13,4.54,4.54
6.54,16,0,730.557145,332.5754215,5.6,69,15,15,15,6.54,6.54
4.44,4.9,0,256.0513666,364.103629,2.5,91,12.9,12.9,12.9,4.44,4.44
2.94,10.4,0,505.8134324,332.687297,2.7,81,11.4,11.4,11.4,2.94,2.94
0.54,10.9,0,902.2438946,282.1899131,4.1,67,9,9,9,0.54,0.54
1.04,11.8,0,702.2554796,303.7828688,2.5,85,9.5,9.5,9.5,1.04,1.04
3.94,12.4,0,667.0729006,323.1278674,3.3,95,12.4,12.4,12.4,3.94,3.94
3.94,14.5,0,953.9312894,296.4983804,3.2,78,12.4,12.4,12.4,3.94,3.94
5.44,16.1,0,800.1535435,319.4363638,3.7,68,13.9,13.9,13.9,5.44,5.44
7.44,11.2,0,762.7642954,337.5501598,5.7,78,15.9,15.9,15.9,7.44,7.44
8.44,8.6,2,590.501106,359.7258744,2.8,82,16.9,16.9,16.9,8.44,8.44
7.54,4.5,0,600.3392891,353.438227,2.8,78,16,16,16,7.54,7.54
8.24,9.6,0,492.8721148,367.6376121,3.4,73,16.7,16.7,16.7,8.24,8.24
4.94,3.9,6,305.8345619,366.832141,3.1,70,13.4,13.4,13.4,4.94,4.94
5.14,8.4,0,326.7424577,365.8701583,2.6,80,13.6,13.6,13.6,5.14,5.14
7.94,16.9,0,942.7249394,323.3767173,2.2,77,16.4,16.4,16.4,7.94,7.94
8.84,12.2,0,856.7998912,337.0147107,3,77,17.3,17.3,17.3,8.84,8.84
11.0,17.3,0,871.8615961,349.5559641,4,80,19.5,19.5,19.5,11.0,11.0
8.94,5,4,298.9174935,389.6653197,3.7,86,17.4,17.4,17.4,8.94,8.94
9.44,7.9,0,520.9838398,371.8817874,3.2,88,17.9,17.9,17.9,9.44,9.44
10.9,5.5,15,314.308201,399.7692832,3.8,92,19.4,19.4,19.4,10.9,10.9
10.4,9,0,440.9480196,385.1949906,2.4,92,18.9,18.9,18.9,10.4,10.4
6.14,6.6,4,298.055787,373.9338013,3.7,87,14.6,14.6,14.6,6.14,6.14
5.34,4,1,377.0923259,361.8967761,2.8,85,13.8,13.8,13.8,5.34,5.34
7.94,7.3,0,540.5163363,361.102581,2.1,86,16.4,16.4,16.4,7.94,7.94
7.64,8.7,0,455.9105471,367.3359012,2.8,85,16.1,16.1,16.1,7.64,7.64
8.94,8.8,0,487.418402,371.9418524,2.8,80,17.4,17.4,17.4,8.94,8.94
7.74,13,0,714.0332671,343.5178653,2.8,84,16.2,16.2,16.2,7.74,7.74
8.14,15.4,0,866.8182629,331.544394,3.1,75,16.6,16.6,16.6,8.14,8.14
10.3,9.5,0,887.8531994,343.4251507,2.7,73,18.8,18.8,18.8,10.3,10.3
9.54,8.4,0,629.5607358,362.2920221,4.1,70,18,18,18,9.54,9.54
9.74,11,0,666.52773,360.0894789,3.4,80,18.2,18.2,18.2,9.74,9.74
9.84,11.4,0,677.1919062,359.7216331,4.2,66,18.3,18.3,18.3,9.84,9.84
11.0,11.7,0,566.6019441,377.2616266,2.8,62,19.5,19.5,19.5,11.0,11.0
10.9,13.5,0,867.534207,349.1698208,3,75,19.4,19.4,19.4,10.9,10.9
11.4,11.3,0,440.3440164,391.2081088,2.1,70,19.9,19.9,19.9,11.4,11.4
11.2,9.2,0,514.4932578,383.2672912,2.5,83,19.7,19.7,19.7,11.2,11.2
8.34,5.1,0,298.1432964,386.2510861,3.2,81,16.8,16.8,16.8,8.34,8.34
9.04,8.5,0,356.4966852,384.8126769,2.8,74,17.5,17.5,17.5,9.04,9.04
9.04,13.9,0,928.1831203,330.5296671,3.3,90,17.5,17.5,17.5,9.04,9.04
